Name,Symbol,Date,High,Low,Open,Close,Volume
Binance Coin,BNB,26/07/2017 23:59,0.109012999,0.099265501,0.105893001,0.105137996,200395
Binance Coin,BNB,27/07/2017 23:59,0.108479001,0.100887999,0.105108,0.107736997,344499
Binance Coin,BNB,28/07/2017 23:59,0.109018996,0.101473004,0.107632004,0.104066998,342568
Binance Coin,BNB,29/07/2017 23:59,0.111263998,0.101108,0.104782,0.107810996,340218
Binance Coin,BNB,30/07/2017 23:59,0.108138002,0.103161998,0.107934996,0.106413998,224261
Binance Coin,BNB,31/07/2017 23:59,0.108349003,0.101599999,0.106827997,0.104249999,240309
Binance Coin,BNB,01/08/2017 23:59,0.106265999,0.096109398,0.104594998,0.0998668,300413
Binance Coin,BNB,02/08/2017 23:59,0.101210997,0.0973612,0.099721201,0.100451998,256793
Binance Coin,BNB,03/08/2017 23:59,0.106977999,0.0991197,0.100327998,0.106642,293008
Binance Coin,BNB,04/08/2017 23:59,0.107755996,0.102698997,0.106684998,0.107493997,287621
Binance Coin,BNB,05/08/2017 23:59,0.144653007,0.107069999,0.107418001,0.128870994,542878
Binance Coin,BNB,06/08/2017 23:59,0.132988006,0.127379999,0.129292995,0.130998999,393681
Binance Coin,BNB,07/08/2017 23:59,0.149765,0.133300006,0.133957997,0.148847997,748177
Binance Coin,BNB,08/08/2017 23:59,0.226925001,0.147765994,0.148998007,0.224420995,2617340
Binance Coin,BNB,09/08/2017 23:59,0.260625005,0.222158,0.224748001,0.242911994,3075320
Binance Coin,BNB,10/08/2017 23:59,0.349976003,0.245051995,0.251827002,0.349079013,4118070
Binance Coin,BNB,11/08/2017 23:59,0.409653991,0.311066985,0.348785013,0.392571986,4413920
Binance Coin,BNB,12/08/2017 23:59,0.475991994,0.337588996,0.39219299,0.446364999,5080760
Binance Coin,BNB,13/08/2017 23:59,1.02263999,0.445989996,0.445989996,0.876828015,13852100
Binance Coin,BNB,14/08/2017 23:59,1.463389993,0.735764027,0.87291801,1.295570016,51698100
Binance Coin,BNB,15/08/2017 23:59,1.378919959,0.923371971,1.327090025,1.056550026,19824400
Binance Coin,BNB,16/08/2017 23:59,1.452720046,1.078690052,1.119689941,1.437240005,31363100
Binance Coin,BNB,17/08/2017 23:59,2.111310005,1.323639989,1.436969995,1.967149973,61296500
Binance Coin,BNB,18/08/2017 23:59,2.754120111,1.89470005,1.925189972,2.384000063,69048000
Binance Coin,BNB,19/08/2017 23:59,2.334399939,1.819939971,2.334399939,2.093369961,43391300
Binance Coin,BNB,20/08/2017 23:59,2.689440012,2.075819969,2.108210087,2.502579927,65350400
Binance Coin,BNB,21/08/2017 23:59,2.90892005,2.430749893,2.430749893,2.701109886,72000600
Binance Coin,BNB,22/08/2017 23:59,2.724450111,2.224790096,2.724450111,2.485270023,52091300
Binance Coin,BNB,23/08/2017 23:59,2.955450058,2.473969936,2.473969936,2.580430031,64925100
Binance Coin,BNB,24/08/2017 23:59,2.663969994,2.283380032,2.627360106,2.379319906,45080400
Binance Coin,BNB,25/08/2017 23:59,2.729969978,2.390569925,2.390569925,2.496870041,49977600
Binance Coin,BNB,26/08/2017 23:59,2.538840055,1.960559964,2.530380011,2.169359922,26690700
Binance Coin,BNB,27/08/2017 23:59,2.313549995,1.858019948,2.179970026,2.005189896,17214900
Binance Coin,BNB,28/08/2017 23:59,2.167429924,1.962800026,2.021490097,2.042900085,15413900
Binance Coin,BNB,29/08/2017 23:59,2.327579975,1.98973,2.106250048,2.327579975,20372000
Binance Coin,BNB,30/08/2017 23:59,2.365350008,2.094559908,2.281939983,2.350049973,24830000
Binance Coin,BNB,31/08/2017 23:59,2.408149958,2.196449995,2.328229904,2.203789949,20214800
Binance Coin,BNB,01/09/2017 23:59,2.388989925,2.116519928,2.201689959,2.384170055,20990700
Binance Coin,BNB,02/09/2017 23:59,2.849270105,1.722470045,2.5,1.992679954,22995400
Binance Coin,BNB,03/09/2017 23:59,2.019299984,1.424170017,1.925480008,1.575799942,11662000
Binance Coin,BNB,04/09/2017 23:59,1.576650023,0.613009989,1.576650023,1.049569964,20075100
Binance Coin,BNB,05/09/2017 23:59,1.119449973,0.740621984,1.032510042,0.973716021,9453770
Binance Coin,BNB,06/09/2017 23:59,1.171300054,0.735499978,0.990521014,1.086140037,14279400
Binance Coin,BNB,07/09/2017 23:59,1.508270025,0.956745028,1.034340024,1.366219997,15442300
Binance Coin,BNB,08/09/2017 23:59,1.403929949,0.946600974,1.398040056,1.006829977,9872850
Binance Coin,BNB,09/09/2017 23:59,1.033779979,0.863061011,1.009199977,0.989301026,4011510
Binance Coin,BNB,10/09/2017 23:59,1.002760053,0.852384984,0.982078016,0.942158997,3257430
Binance Coin,BNB,11/09/2017 23:59,1.101699948,0.90200001,0.949186027,1.025810003,5167180
Binance Coin,BNB,12/09/2017 23:59,1.208240032,0.987631977,1.033480048,1.035680056,7213490
Binance Coin,BNB,13/09/2017 23:59,1.042899966,0.880240977,1.042899966,0.937204003,2780700
Binance Coin,BNB,14/09/2017 23:59,0.950177014,0.673482001,0.937870026,0.678784013,3134360
