Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Apple,AAPL,2015-05-27 00:00:00+00:00,130.34,132.26,130.05,132.045,121.6825575,45833246
Apple,AAPL,2015-05-28 00:00:00+00:00,131.86,131.95,131.1,131.78,121.4383538,30733309
Apple,AAPL,2015-05-29 00:00:00+00:00,131.23,131.45,129.9,130.28,120.0560687,50884452
Apple,AAPL,2015-06-01 00:00:00+00:00,131.2,131.39,130.05,130.535,120.2910572,32112797
Apple,AAPL,2015-06-02 00:00:00+00:00,129.86,130.655,129.32,129.96,119.7611812,33667627
Apple,AAPL,2015-06-03 00:00:00+00:00,130.66,130.94,129.9,130.12,119.908625,30983542
Apple,AAPL,2015-06-04 00:00:00+00:00,129.58,130.58,128.91,129.36,119.2082672,38450118
Apple,AAPL,2015-06-05 00:00:00+00:00,129.5,129.69,128.36,128.65,118.5539856,35626800
Apple,AAPL,2015-06-08 00:00:00+00:00,128.9,129.21,126.83,127.8,117.7706907,52674786
Apple,AAPL,2015-06-09 00:00:00+00:00,126.7,128.08,125.62,127.42,117.4205118,56075420
Apple,AAPL,2015-06-10 00:00:00+00:00,127.92,129.34,127.85,128.88,118.765936,39087250
Apple,AAPL,2015-06-11 00:00:00+00:00,129.18,130.18,128.475,128.59,118.4986942,35390887
Apple,AAPL,2015-06-12 00:00:00+00:00,128.185,128.33,127.11,127.17,117.1901309,36886246
Apple,AAPL,2015-06-15 00:00:00+00:00,126.1,127.24,125.71,126.92,116.9597501,43988946
Apple,AAPL,2015-06-16 00:00:00+00:00,127.03,127.85,126.37,127.6,117.586386,31494131
Apple,AAPL,2015-06-17 00:00:00+00:00,127.72,127.88,126.74,127.3,117.309929,32918071
Apple,AAPL,2015-06-18 00:00:00+00:00,127.23,128.31,127.22,127.88,117.8444126,35407220
Apple,AAPL,2015-06-19 00:00:00+00:00,127.71,127.82,126.4,126.6,116.6648626,54716887
Apple,AAPL,2015-06-22 00:00:00+00:00,127.49,128.06,127.08,127.61,117.5956012,34039345
Apple,AAPL,2015-06-23 00:00:00+00:00,127.48,127.61,126.8792,127.03,117.0611177,30268863
Apple,AAPL,2015-06-24 00:00:00+00:00,127.21,129.8,127.12,128.11,118.0563629,55280855
Apple,AAPL,2015-06-25 00:00:00+00:00,128.86,129.2,127.5,127.5,117.4942337,31938100
Apple,AAPL,2015-06-26 00:00:00+00:00,127.67,127.99,126.51,126.75,116.8030911,44066841
Apple,AAPL,2015-06-29 00:00:00+00:00,125.46,126.47,124.48,124.53,114.7573092,49161427
Apple,AAPL,2015-06-30 00:00:00+00:00,125.57,126.12,124.86,125.425,115.5820726,44370682
